gene,vP0_1,vP0_2,vP4_1,vP4_2,vP7_1,vP7_2,vAd_1,vAd_2
ENSMUSG00000098201.2,4,0,2,0,0,0,0,0
ENSMUSG00000103509.2,27,112,54,83,33,56,30,24
ENSMUSG00000048538.8,0,1,0,1,0,0,0,0
ENSMUSG00000103709.2,0,0,0,0,0,0,0,1
ENSMUSG00000077244.3,0,0,0,0,0,0,0,0
ENSMUSG00000102768.2,0,0,0,0,0,0,0,0
ENSMUSG00000097797.7,12,13,7,6,7,3,5,4
ENSMUSG00000103498.2,0,0,0,0,0,0,0,0
ENSMUSG00000103067.2,0,0,0,0,0,0,0,0
ENSMUSG00000102320.2,0,0,0,0,0,0,0,0
ENSMUSG00000104226.2,0,0,0,0,0,0,0,0
ENSMUSG00000103903.2,0,0,0,0,0,1,0,0
ENSMUSG00000103557.2,0,0,0,0,0,0,0,0
ENSMUSG00000025909.17,0,0,1,3,0,1,0,0
ENSMUSG00000102647.2,0,1,0,0,0,0,0,0
ENSMUSG00000086235.2,1,2,2,1,1,1,2,2
ENSMUSG00000102253.2,0,0,0,0,0,0,0,0
ENSMUSG00002074990.1,0,0,0,0,0,0,0,0
ENSMUSG00000103884.2,0,0,0,0,0,0,0,0
ENSMUSG00000084353.2,1,0,0,0,0,0,0,0
ENSMUSG00000103933.2,1,2,1,2,0,3,0,0
ENSMUSG00002075967.1,0,0,1,0,0,0,0,0
ENSMUSG00000086195.2,0,0,0,0,0,0,0,0
ENSMUSG00000104504.2,0,0,0,0,0,0,0,0
ENSMUSG00000066693.3,1,0,0,0,0,2,2,0
ENSMUSG00000102316.2,0,0,0,0,0,0,0,0
ENSMUSG00000103819.2,0,0,0,0,0,0,0,0
ENSMUSG00000102871.2,0,0,0,0,0,0,0,0
ENSMUSG00000101571.3,0,0,0,0,1,0,0,0
ENSMUSG00000104428.2,0,0,0,0,0,0,0,0
ENSMUSG00000102272.2,0,0,0,0,0,0,0,0
ENSMUSG00000065625.3,0,0,0,0,0,0,0,0
ENSMUSG00000103411.2,0,1,1,0,0,0,3,1
ENSMUSG00000061024.9,427,416,338,387,187,223,372,331
ENSMUSG00000025911.15,530,555,407,363,189,194,980,637
ENSMUSG00000079671.9,54,73,85,100,48,63,53,35
ENSMUSG00000081441.4,4,1,3,1,0,1,7,1
ENSMUSG00000067879.4,8,18,21,26,14,8,3,4
ENSMUSG00000099827.2,0,0,0,0,0,0,0,0
ENSMUSG00000025912.17,62,155,124,182,74,80,32,23
ENSMUSG00000045210.9,554,864,667,793,439,471,586,434
ENSMUSG00000097893.9,0,3,0,2,2,1,1,1
ENSMUSG00000025915.15,346,360,290,412,205,200,309,244
ENSMUSG00000046334.5,0,2,1,1,0,0,0,0
ENSMUSG00002075801.1,0,0,0,0,1,0,0,0
ENSMUSG00000046101.17,1,7,5,7,4,3,4,0
ENSMUSG00000098234.8,98,85,60,78,45,38,33,34
ENSMUSG00000093178.3,3,1,1,0,0,1,0,0
ENSMUSG00000099032.3,24,11,18,29,20,8,8,5
ENSMUSG00000104025.2,0,0,0,1,0,0,0,0
ENSMUSG00000025916.11,0,5,1,1,1,3,8,5
ENSMUSG00000087199.2,0,0,1,0,0,0,0,0
ENSMUSG00000119658.1,0,0,0,0,0,0,0,0
ENSMUSG00000025917.10,1285,1244,1078,1391,677,805,1050,954
ENSMUSG00000056763.17,287,557,332,525,232,283,178,156
ENSMUSG00000102356.2,0,1,0,2,0,0,0,0
ENSMUSG00000067851.12,1473,1951,1566,1776,1210,1143,3336,3003
ENSMUSG00002076532.1,0,2,3,1,0,0,1,0
ENSMUSG00000102556.2,2,2,0,0,0,4,1,0
ENSMUSG00000042501.13,1,1,0,0,0,0,0,0
ENSMUSG00000103810.2,0,0,0,0,0,0,1,0
ENSMUSG00000083422.2,3,0,0,0,0,0,0,0
ENSMUSG00000119312.1,0,0,0,0,0,0,0,0
ENSMUSG00000081417.2,0,0,0,1,0,0,0,0
ENSMUSG00000103448.2,1,0,0,0,0,0,0,0
ENSMUSG00000100212.2,0,0,0,0,0,0,0,0
ENSMUSG00000100648.2,0,0,0,0,0,1,0,0
ENSMUSG00002076499.1,0,0,0,0,0,0,0,0
ENSMUSG00000048960.14,402,849,803,1031,833,670,1003,737
ENSMUSG00000077318.3,0,0,0,0,0,0,0,0
ENSMUSG00000101827.2,3,2,5,9,4,0,0,1
ENSMUSG00000103494.2,0,0,0,0,0,0,0,0
ENSMUSG00000057715.14,5,4,0,0,0,0,1,1
ENSMUSG00000103825.2,0,0,0,0,1,0,0,0
ENSMUSG00000099845.2,0,0,0,0,0,0,0,0
ENSMUSG00000103561.2,0,0,0,0,0,0,0,0
ENSMUSG00000101610.2,0,0,0,0,0,0,0,0
ENSMUSG00000118923.1,0,0,0,0,0,0,0,0
ENSMUSG00000098555.3,0,0,0,0,0,0,0,0
ENSMUSG00000097628.2,4,5,2,2,2,1,2,3
ENSMUSG00000098163.2,0,0,0,0,0,0,0,0
ENSMUSG00000097171.2,0,0,0,0,0,0,0,0
ENSMUSG00000101314.2,0,0,0,0,0,0,0,0
ENSMUSG00000016918.16,1538,1434,1648,1898,904,866,765,567
ENSMUSG00000025938.17,66,49,92,93,74,73,657,569
ENSMUSG00000104518.2,0,0,0,0,0,0,0,0
ENSMUSG00000069620.7,0,0,0,0,0,0,0,0
ENSMUSG00000099498.2,0,0,0,0,0,0,0,0
ENSMUSG00000042414.8,0,0,1,0,0,0,0,0
ENSMUSG00000005886.15,1755,1958,1479,1766,1014,976,1521,1269
ENSMUSG00000103506.2,3,7,5,2,0,9,2,2
ENSMUSG00000103495.2,0,3,1,2,5,8,0,0
ENSMUSG00002076346.1,0,1,0,0,1,0,0,0
ENSMUSG00000102639.2,0,3,0,0,0,1,0,0
ENSMUSG00000104170.2,2,4,2,1,3,5,2,0
ENSMUSG00000087782.3,0,0,2,0,1,0,0,0
ENSMUSG00000103085.2,9,16,7,12,6,8,3,4
ENSMUSG00000102664.2,2,11,5,9,2,2,1,1
ENSMUSG00000101476.2,1,0,2,1,0,0,0,0
ENSMUSG00000101171.2,1,0,0,0,0,0,0,0
ENSMUSG00000025935.11,1114,1047,1087,1230,764,731,877,851
ENSMUSG00000025937.7,418,446,457,526,328,293,571,437
ENSMUSG00000102982.2,6,13,4,9,4,4,3,4
ENSMUSG00000067813.4,1,0,0,0,0,0,0,0
ENSMUSG00000077368.3,0,0,0,0,0,0,0,0
ENSMUSG00000097711.2,3,2,0,2,3,3,2,0
ENSMUSG00000102166.2,0,0,0,0,0,0,0,0
ENSMUSG00002075174.1,0,0,0,0,0,0,0,0
ENSMUSG00000104209.2,0,0,0,0,0,0,0,0
ENSMUSG00000025932.15,14,9,14,21,9,6,15,8
ENSMUSG00002075819.1,0,0,0,0,0,0,0,0
ENSMUSG00000102588.2,0,1,0,0,0,0,0,0
ENSMUSG00000054493.3,5,9,17,14,10,3,6,2
ENSMUSG00000025930.7,33,17,58,51,16,30,16,18
ENSMUSG00000103492.2,1,1,3,3,2,1,2,0
ENSMUSG00000081201.2,0,0,0,0,0,0,0,0
ENSMUSG00000082193.2,5,10,1,4,6,5,0,1
ENSMUSG00000032769.6,7,6,3,6,0,1,0,0
ENSMUSG00000088159.3,0,0,0,0,0,0,0,0
ENSMUSG00000073737.4,9,4,4,2,4,3,1,4
ENSMUSG00000092083.5,4,4,2,5,1,4,1,0
ENSMUSG00000102937.2,0,0,0,0,0,0,0,0
ENSMUSG00000104149.2,0,0,0,0,0,1,0,0
ENSMUSG00000088829.3,0,0,0,0,0,0,0,0
ENSMUSG00000077377.3,0,0,0,0,0,0,0,0
ENSMUSG00000101652.2,0,0,0,0,0,0,0,0
ENSMUSG00000100814.2,0,0,0,0,0,0,0,0
ENSMUSG00000025925.15,135,208,177,195,101,130,82,83
ENSMUSG00000104379.2,1,3,1,5,2,3,3,1
ENSMUSG00000032719.5,0,1,3,2,0,1,1,2
ENSMUSG00002076565.1,0,0,0,0,0,0,0,0
ENSMUSG00000100652.2,2,0,0,0,0,0,0,0
ENSMUSG00000067795.14,1,0,2,0,0,0,1,0
ENSMUSG00000043716.14,5252,4981,4118,4733,2502,2418,3447,3197
ENSMUSG00000025921.8,178,156,126,156,103,102,121,141
ENSMUSG00000104165.2,1,2,1,1,1,1,1,2
ENSMUSG00000100868.2,13,5,4,10,5,6,6,2
ENSMUSG00000025920.20,823,998,954,1135,758,671,1640,1414
ENSMUSG00000089982.8,4,2,8,3,2,5,2,1
ENSMUSG00000025939.20,406,498,319,415,278,272,386,308
ENSMUSG00000102457.2,4,2,1,1,1,0,1,2
ENSMUSG00000079658.10,907,1061,934,1011,613,611,900,826
ENSMUSG00000097744.2,0,0,0,0,0,0,0,0
ENSMUSG00000100959.2,0,0,0,0,0,0,0,0
ENSMUSG00000025940.7,814,858,827,844,581,525,1545,1567
ENSMUSG00000025779.11,21,43,35,36,32,35,45,29
ENSMUSG00000100093.2,0,0,0,0,0,0,0,0
ENSMUSG00000091020.4,7,20,12,14,8,9,15,10
ENSMUSG00000101640.2,0,0,0,0,0,0,0,0
ENSMUSG00000104133.2,0,0,0,0,0,0,0,0
ENSMUSG00000042686.6,282,282,211,280,202,195,621,493
ENSMUSG00000100110.2,0,0,0,0,0,0,0,0
ENSMUSG00000025777.9,4,4,1,3,0,2,2,0
ENSMUSG00000099899.2,0,0,0,0,0,0,0,0
ENSMUSG00000100272.2,0,0,0,0,0,0,0,0
ENSMUSG00000100398.2,0,0,0,0,0,0,0,0
ENSMUSG00000101589.2,3,3,1,4,5,1,1,1
ENSMUSG00000102048.2,0,0,0,1,0,0,0,0
ENSMUSG00000089534.3,0,0,1,0,0,0,0,0
ENSMUSG00000067780.4,148,220,279,354,277,245,90,92
ENSMUSG00000100053.2,2,2,1,4,4,1,1,1
ENSMUSG00000085125.8,0,1,2,1,1,3,1,0
ENSMUSG00000025776.14,22,20,15,26,27,20,38,29
ENSMUSG00000099895.2,0,1,0,0,1,0,0,0
ENSMUSG00000100554.2,0,0,0,0,0,0,0,0
ENSMUSG00000099473.2,0,0,0,0,0,0,0,0
ENSMUSG00000099591.2,0,0,0,0,0,0,0,0
ENSMUSG00000109887.2,0,0,0,0,0,0,2,0
ENSMUSG00000102001.2,0,0,0,0,0,0,0,0
ENSMUSG00000101717.3,0,0,0,0,0,0,0,0
ENSMUSG00000025774.15,0,0,0,0,0,0,0,0
ENSMUSG00000070977.5,0,0,0,0,0,0,0,0
ENSMUSG00000073735.2,0,0,0,0,0,0,0,0
ENSMUSG00000067773.7,0,0,0,0,0,0,0,0
ENSMUSG00000101685.2,0,0,1,0,0,0,0,0
ENSMUSG00000101306.2,0,0,0,0,0,0,0,0
ENSMUSG00000088800.4,0,0,0,0,0,0,0,0
ENSMUSG00000101644.2,0,0,0,0,0,0,0,0
ENSMUSG00000099433.2,0,0,0,0,0,0,0,0
ENSMUSG00000089787.3,0,0,0,0,0,0,0,0
ENSMUSG00000042596.8,0,0,0,0,0,0,0,0
ENSMUSG00000100720.2,2,2,0,2,0,2,0,0
ENSMUSG00000025927.14,0,1,1,1,1,0,1,0
ENSMUSG00000100538.2,0,0,0,0,0,0,0,0
ENSMUSG00000101117.2,0,0,0,0,0,0,0,0
ENSMUSG00000100204.2,1,0,1,0,0,0,2,1
ENSMUSG00002076883.1,0,0,0,0,0,0,0,0
ENSMUSG00000102597.2,0,1,0,0,0,0,0,0
ENSMUSG00000043760.17,0,0,0,0,0,0,0,0
ENSMUSG00000104095.2,0,0,0,0,0,0,0,0
ENSMUSG00000089914.3,0,0,0,0,0,0,0,0
ENSMUSG00000090142.3,0,1,0,1,0,1,0,0
ENSMUSG00000070175.3,0,0,0,0,0,0,0,0
ENSMUSG00000099906.3,0,0,0,0,0,0,0,0
ENSMUSG00000065559.3,0,0,0,0,0,0,0,0
ENSMUSG00000065480.3,0,0,0,0,0,0,0,0
ENSMUSG00000025929.5,0,0,0,0,0,0,0,0
ENSMUSG00000041872.10,0,1,0,2,2,0,0,0
ENSMUSG00000041859.11,857,895,806,1069,313,430,82,113
ENSMUSG00000099714.2,0,0,0,0,0,0,0,0
ENSMUSG00000102121.2,0,0,0,0,0,0,0,0
ENSMUSG00000088858.3,0,0,0,0,0,0,0,0
ENSMUSG00000097934.2,2,1,0,0,0,1,1,1
ENSMUSG00000025931.16,112,89,105,107,78,72,48,63
ENSMUSG00000077314.3,0,1,0,0,0,0,0,1
ENSMUSG00000100929.2,0,0,0,0,0,0,0,1
ENSMUSG00000041809.6,15,20,17,16,11,18,8,8
ENSMUSG00000041779.6,365,313,388,509,273,273,210,221
ENSMUSG00000099971.2,0,0,0,0,1,0,0,0
ENSMUSG00000100819.2,4,6,2,2,1,0,2,2
ENSMUSG00000025933.16,53,33,49,46,22,26,40,42
ENSMUSG00000102633.2,0,1,0,2,0,0,0,1
ENSMUSG00000025934.16,7,12,9,9,8,8,186,94
ENSMUSG00000099343.2,0,1,0,1,0,0,1,0
ENSMUSG00000096375.3,1,1,0,0,1,0,0,0
ENSMUSG00000025936.16,0,0,1,0,0,0,8,1
ENSMUSG00000093963.2,0,0,0,0,0,0,0,0
ENSMUSG00000067750.4,0,0,0,0,0,0,0,0
ENSMUSG00000086194.2,0,0,0,0,0,0,0,0
ENSMUSG00000094436.2,0,0,0,0,0,0,0,0
ENSMUSG00000041722.8,1,0,0,1,0,0,0,0
ENSMUSG00000085507.2,0,0,0,0,0,0,0,0
ENSMUSG00000094926.2,0,0,0,0,0,0,0,0
ENSMUSG00000085079.4,0,0,0,0,0,0,0,0
ENSMUSG00000085679.3,0,0,0,0,0,0,0,0
ENSMUSG00000028033.17,157,151,93,71,36,25,95,23
ENSMUSG00000104138.2,0,1,0,0,1,0,0,0
ENSMUSG00000082935.4,79,66,15,115,50,46,106,61
ENSMUSG00000103748.2,1,7,3,0,1,2,1,0
ENSMUSG00000099692.2,0,0,1,0,0,0,1,1
ENSMUSG00000100418.2,0,0,0,0,0,0,0,0
ENSMUSG00000041670.20,8,18,13,3,4,6,2,0
ENSMUSG00000097642.2,0,0,0,0,0,0,0,0
ENSMUSG00000101468.2,1,0,0,0,0,0,0,0
ENSMUSG00000101227.2,0,0,0,0,0,0,0,0
ENSMUSG00000073730.3,0,0,0,0,0,0,0,0
ENSMUSG00000089553.3,0,0,0,0,0,0,0,0
ENSMUSG00000102766.2,0,1,0,0,0,0,1,0
ENSMUSG00000065405.5,0,0,0,0,0,0,0,0
ENSMUSG00000097970.2,7,15,8,19,20,12,40,13
ENSMUSG00000065567.3,0,0,0,0,0,0,0,0
ENSMUSG00000100775.2,2,0,0,1,1,1,6,2
ENSMUSG00000101226.2,0,1,0,0,0,0,0,0
ENSMUSG00000026158.12,303,415,347,487,338,373,795,698
ENSMUSG00000097920.2,2,0,0,0,0,0,1,3
ENSMUSG00000099503.2,0,0,0,0,0,0,0,0
ENSMUSG00000026156.9,26,26,37,33,27,25,18,7
ENSMUSG00000026155.14,301,349,246,388,210,173,155,127
ENSMUSG00000026154.5,247,189,229,266,137,161,518,431
ENSMUSG00000102495.2,0,0,0,0,1,1,0,0
ENSMUSG00000026153.16,850,1392,1028,1019,584,607,771,567
ENSMUSG00000102398.2,1,2,1,2,0,1,0,2
ENSMUSG00000097670.2,0,0,0,0,0,0,0,0
ENSMUSG00000026147.17,6,13,0,1,0,0,0,0
ENSMUSG00000026141.14,8,4,3,0,0,1,1,0
ENSMUSG00000077463.3,0,0,0,0,0,0,0,0
ENSMUSG00000099997.2,0,0,1,0,0,0,1,0
ENSMUSG00000100131.2,11,31,28,27,19,53,10,10
ENSMUSG00000067736.3,10,21,15,14,19,29,29,41
ENSMUSG00000101939.2,142,114,97,112,89,158,346,272
ENSMUSG00000101111.2,8,26,12,17,12,26,11,18
ENSMUSG00000100862.2,12,35,26,17,26,50,17,24
ENSMUSG00000102070.2,24,39,26,40,40,43,13,20
ENSMUSG00000101249.2,27,43,26,39,35,51,47,50
ENSMUSG00000073725.9,560,547,456,551,361,399,923,860
ENSMUSG00000100808.2,0,0,0,0,0,0,0,0
ENSMUSG00000100483.2,0,0,0,0,0,0,0,0
ENSMUSG00000100450.2,0,0,0,0,0,0,0,0
ENSMUSG00000099392.2,0,0,0,0,0,0,0,0
ENSMUSG00000033569.18,1,1,0,1,0,0,0,0
ENSMUSG00000080849.2,0,0,0,0,0,0,0,0
ENSMUSG00000104257.2,0,0,0,0,0,0,0,0
ENSMUSG00000119153.1,0,0,0,0,0,0,0,0
ENSMUSG00000102296.2,0,0,0,0,0,0,0,0
ENSMUSG00000103209.2,0,0,0,0,0,0,0,0
ENSMUSG00000104027.2,0,0,0,0,0,0,0,0
ENSMUSG00000102407.2,0,0,0,0,0,0,0,0
ENSMUSG00000103214.2,0,0,0,0,0,0,0,0
ENSMUSG00000104100.2,0,0,0,0,0,0,0,0
ENSMUSG00000084740.3,0,0,0,0,0,0,0,0
ENSMUSG00000103889.2,0,0,0,0,0,0,0,0
ENSMUSG00000101301.2,0,0,0,0,0,0,0,0
ENSMUSG00000104221.2,0,0,0,0,0,0,0,0
ENSMUSG00000102250.2,0,0,0,0,0,0,0,0
ENSMUSG00000102317.2,0,0,0,0,0,0,0,0
ENSMUSG00000103563.2,0,0,0,0,0,0,0,0
ENSMUSG00000102465.2,0,1,0,0,0,0,0,0
ENSMUSG00000102659.2,0,0,0,0,0,0,0,0
ENSMUSG00000103924.2,0,0,0,0,0,0,0,0
ENSMUSG00000104132.2,0,0,0,0,0,0,0,0
ENSMUSG00000102747.2,0,0,0,0,0,0,0,0
ENSMUSG00000102386.2,1,0,0,0,0,0,0,1
ENSMUSG00000103004.2,0,0,0,0,0,0,0,0
ENSMUSG00000104516.2,0,0,0,0,0,0,0,0
ENSMUSG00000101618.2,0,0,0,0,0,0,0,0
ENSMUSG00000099458.2,0,0,0,0,0,0,0,0
ENSMUSG00000088111.3,0,0,0,0,0,0,0,0
ENSMUSG00000073722.4,0,0,0,0,0,0,2,0
ENSMUSG00000119695.1,0,0,0,0,0,0,0,0
ENSMUSG00000100310.2,0,0,0,0,0,0,0,0
ENSMUSG00000101514.2,0,0,0,0,0,0,0,0
ENSMUSG00000101033.2,0,0,0,0,0,0,0,0
ENSMUSG00000101372.2,0,0,0,0,0,0,0,0
ENSMUSG00000103241.2,0,0,0,0,0,0,0,0
ENSMUSG00000086240.5,2,2,3,1,0,1,1,0
ENSMUSG00000048411.5,0,0,0,0,0,0,0,0
ENSMUSG00000081557.3,0,0,0,0,0,0,0,0
ENSMUSG00000058590.3,0,0,0,0,0,0,0,0
ENSMUSG00000101235.2,0,0,0,0,0,0,0,0
ENSMUSG00002075209.1,0,0,0,0,0,0,0,0
ENSMUSG00002076857.1,0,0,0,0,0,0,0,0
ENSMUSG00002074912.1,0,0,0,0,0,0,0,0
ENSMUSG00000099257.3,0,0,0,0,0,0,0,0
ENSMUSG00000099492.2,4,3,2,1,2,1,5,3
ENSMUSG00000118548.2,0,0,0,0,0,0,0,0
ENSMUSG00000101726.2,0,0,0,0,0,0,0,0
ENSMUSG00002075317.1,0,0,0,0,0,0,0,0
ENSMUSG00002075289.1,0,0,0,0,0,0,0,0
ENSMUSG00000053185.3,0,0,0,0,0,0,0,0
ENSMUSG00000100261.2,1,0,0,1,0,0,0,0
ENSMUSG00000101180.2,0,0,0,0,0,0,0,1
ENSMUSG00000048874.16,1391,2262,1466,1705,1035,1018,1171,953
ENSMUSG00000103783.2,1,7,4,2,1,1,1,0
ENSMUSG00000104315.2,2,5,2,9,4,7,4,3
ENSMUSG00000026064.17,6,4,4,9,8,10,16,9
ENSMUSG00000117310.3,1,4,5,2,2,6,3,7
ENSMUSG00000117091.2,0,0,0,0,0,0,0,0
ENSMUSG00000086726.4,0,0,0,0,0,0,0,0
ENSMUSG00000086727.9,1,0,0,3,1,1,0,2
ENSMUSG00000100237.2,0,0,0,0,0,0,0,0
ENSMUSG00002076113.1,0,0,0,0,0,0,0,0
ENSMUSG00000100910.2,0,1,0,0,0,0,0,0
ENSMUSG00000099796.2,1,2,0,1,0,1,1,1
ENSMUSG00000050217.14,1,0,0,1,1,0,0,0
ENSMUSG00000026063.5,0,0,0,0,0,0,0,0
ENSMUSG00000077664.3,0,0,0,0,0,0,0,0
ENSMUSG00000100205.2,0,0,0,0,0,0,0,0
ENSMUSG00000100592.2,0,0,0,0,0,0,0,0
ENSMUSG00000094215.3,0,0,0,0,0,0,0,0
ENSMUSG00000101093.2,1,0,0,0,0,0,0,0
ENSMUSG00000070960.5,13,6,5,10,0,4,1,6
ENSMUSG00000088620.3,0,0,0,0,0,0,0,0
ENSMUSG00000082159.3,0,0,0,0,0,0,0,0
ENSMUSG00000026058.12,2,3,1,4,0,1,0,0
ENSMUSG00000064688.3,0,0,0,0,0,0,0,0
ENSMUSG00000103482.2,0,0,0,0,1,0,0,0
ENSMUSG00000104498.2,0,0,0,0,0,0,0,0
ENSMUSG00000104313.2,0,0,0,0,0,0,0,0
ENSMUSG00000102865.2,0,0,0,0,0,0,0,0
ENSMUSG00000102321.2,1,1,0,0,0,0,0,0
ENSMUSG00000091318.3,0,0,0,0,0,0,0,1
ENSMUSG00000089489.3,0,0,0,0,0,0,0,0
ENSMUSG00000104433.2,0,0,0,0,0,0,0,0
ENSMUSG00002076392.1,0,0,0,0,0,0,0,0
ENSMUSG00000102926.2,0,0,0,0,0,0,0,0
ENSMUSG00000100497.2,0,0,0,0,0,0,0,0
ENSMUSG00000102917.2,0,0,0,0,0,0,0,0
ENSMUSG00000100481.2,1,0,0,2,0,0,1,1
ENSMUSG00000100590.2,0,0,0,0,0,0,0,0
ENSMUSG00000088750.3,0,0,0,0,0,0,0,0
ENSMUSG00000104230.2,0,0,0,0,0,0,0,0
ENSMUSG00000101754.3,0,0,0,0,0,0,0,0
ENSMUSG00000065223.4,0,0,0,0,0,0,0,0
ENSMUSG00000100318.3,0,0,0,0,0,0,0,0
ENSMUSG00000101612.3,0,4,9,0,3,4,3,1
ENSMUSG00000065260.3,0,0,0,0,0,0,0,0
ENSMUSG00000026134.12,130,156,142,180,75,74,38,30
ENSMUSG00000101682.2,6,1,0,0,0,0,0,0
ENSMUSG00000102714.2,3,5,3,4,4,3,1,1
ENSMUSG00000102093.2,0,0,0,0,0,0,0,0
ENSMUSG00000103746.2,6,3,7,6,3,1,0,1
ENSMUSG00000102198.2,0,1,0,1,0,0,0,0
ENSMUSG00000004768.15,318,349,474,535,299,313,193,200
ENSMUSG00000042215.9,820,847,725,892,544,533,910,793
ENSMUSG00000103072.2,3,0,4,0,3,3,2,0
ENSMUSG00000042197.14,727,848,763,852,514,474,403,377
ENSMUSG00000081402.5,3,2,2,1,2,0,0,1
ENSMUSG00000042182.17,78,54,65,78,26,20,15,22
ENSMUSG00000104416.2,0,2,0,1,0,0,0,3
ENSMUSG00000026131.21,9215,12304,13462,14402,11347,10806,23083,17709
ENSMUSG00000103596.2,1,2,2,2,1,0,0,0
ENSMUSG00000099382.2,0,0,0,0,0,0,0,0
ENSMUSG00000084506.3,0,0,0,0,0,0,0,0
ENSMUSG00000103364.2,28,24,39,29,18,14,16,8
ENSMUSG00000105982.3,0,0,0,0,0,0,0,0
ENSMUSG00000096992.4,12,14,13,17,13,17,18,8
ENSMUSG00000103001.2,0,3,2,2,0,0,0,0
ENSMUSG00000104397.2,0,0,0,0,0,0,0,0
ENSMUSG00000102839.2,0,0,0,0,0,0,0,0
ENSMUSG00000101206.2,0,1,0,0,0,0,0,0
ENSMUSG00000101462.3,9,15,11,10,0,2,6,5
ENSMUSG00000102336.2,88,122,55,79,22,29,27,23
